Company,Company Score,Job Title,Location,Date,Salary
roche,4.3,software engineer (customer-facing applications),"arlington, va",10d,$65k - $101k (glassdoor est.)
qualtrics,3.0,software engineer,"lenexa, ks",15d,$129k - $224k (employer est.)
edward rose & sons,4.4,senior software engineer - digital pathology,"santa clara, ca",2d,$161k - $243k (employer est.)
michelin,5.0,senior software development engineer - data engineering team,"seattle, wa",8d,$76k - $107k (glassdoor est.)
"garmin international, inc.",4.7,yardi enterprise software support engineer - hybrid remote,"bloomfield hills, mi",11d,$70k - $85k (employer est.)
smart ims,4.3,software engineer(entry/experienced) spa,"spartanburg, sc",26d,$75k - $150k (employer est.)
wipro,3.9,embedded c / linux software engineer - marine,"olathe, ks",23d,$110k - $150k (employer est.)
harley-davidson,3.8,software engineer 2,united states,30d+,$98k - $147k (glassdoor est.)
"vizio, inc.",3.4,php engineer,"tampa, fl",30d+,$74k - $92k (employer est.)
geneva technologies inc.,3.4,associate design engineer - software v&v,"wauwatosa, wi",30d+,$8k - $12k (employer est.)
electronx,4.2,senior software engineer,"dallas, tx",5d,$90k - $131k (employer est.)
camelot integrated solutions inc.,3.7,software engineer,"monument, co",4d,$120k - $150k (employer est.)
"jrc integrated systems, llc",3.7,experienced: core infrastructure software engineer,remote,3d,$126k - $237k (employer est.)
sabre engineering,3.5,software developer (job code 001),"houston, tx",30d+,$50k - $78k (glassdoor est.)
thermoflow,4.2,software engineer,"dahlgren, va",30d+,$94k - $117k (glassdoor est.)
fanatics inc.,3.5,jr. software engineer,"columbia, md",2d,$185k - $200k (employer est.)
"twitch interactive, inc.",3.5,"computer science, software engineers, programmers","jacksonville, fl",30d+,$103k - $149k (employer est.)
adtran,3.4,sr software engineer,"new york, ny",30d+,$109k - $141k (glassdoor est.)
oncorre,3.8,software development engineer,"seattle, wa",5d,$76k - $116k (glassdoor est.)
nmg technology services,3.8,senior software engineer,oregon,5d,$37k - $82k (employer est.)
captivation software,3.7,software engineer,"bridgewater, nj",30d+,$129k - $159k (glassdoor est.)
invisible technologies,3.7,software engineer,"brooklyn, ny",30d+,$80k - $111k (glassdoor est.)
metas solutions,4.1,software engineer 2 - devops,"annapolis junction, md",30d+,$95k - $133k (glassdoor est.)
"gap solutions, inc.",4.0,senior software engineer - platform,remote,16d,$130k - $140k (employer est.)
independent software,4.2,software quality assurance engineer & tester,"atlanta, ga",2d,$81k - $118k (glassdoor est.)
interimage,4.1,software qa engineer and tester,"atlanta, ga",24h,$120k - $150k (employer est.)
tickets.com,5.0,"software integration engineer, junior","fort meade, md",30d+,$180k - $260k (employer est.)
adobe,4.9,2251 java & nifi software engineer,"annapolis junction, md",18d,$86k - $111k (glassdoor est.)
embecta,3.3,senior software engineer,"boulder, co",6d,$40.00 - $45.00 per hour (employer est.)
tesla,4.2,senior software development engineer,"san jose, ca",11d,$74k - $109k (glassdoor est.)
cvs health,4.1,"senior fullstack software engineer (hybrid - andover, ma)","andover, ma",6d,$108k - $116k (employer est.)
space systems integration,3.0,"sr. software engineer, backend, factory software","fremont, ca",4d,$103k - $146k (glassdoor est.)
cash app,4.5,full-stack software developer,"hartford, ct",17d,$89k - $128k (glassdoor est.)
annapurna labs (u.s.) inc.,5.0,software engineer,"albuquerque, nm",30d+,$84k (employer est.)
index engines inc.,3.9,"software engineer, incentive","seattle, wa",3d,$144k - $198k (employer est.)
ford motor company,4.4,"software dev engineer - machine learning apps, accelerator","cupertino, ca",3d,$160k - $321k (employer est.)
q9software,4.1,react software engineer,colorado,30d+,$97k - $155k (glassdoor est.)
squarespace,3.8,software engineer,"dearborn, mi",30d+,$120k - $290k (employer est.)
"advanced micro devices, inc",3.4,software developer,"germantown, md",30d+,$87k - $126k (glassdoor est.)
interimage,3.7,"senior software engineer, user platform (java)",united states,5d,$129k - $224k (employer est.)
"flow systems, inc",3.4,software development engineer - ai/ml,"san jose, ca",30d+,$103k - $141k (employer est.)
openai,4.6,2128 software engineer 1 (java focused),"annapolis junction, md",18d,$135k - $155k (employer est.)
teradyne,3.8,software engineer,"berthoud, co",3d,$65k - $118k (employer est.)
meta,2.9,"senior software engineer, search evaluations","san francisco, ca",6d,$80k - $94k (employer est.)
yellow duck technologies inc.,4.3,software performance engineer,"north reading, ma",18d,$104k - $348k (employer est.)
workday,4.0,software engineer - camera (technical leadership),"redmond, wa",3d,$300k - $450k (employer est.)
ops tech alliance,4.2,cleared junior software engineer,"annapolis junction, md",15d,$90k - $126k (glassdoor est.)
cdk global,3.7,principal software engineer,"seattle, wa",30d+,$78k - $102k (glassdoor est.)
iab solutions llc,3.7,software engineer level 3,"fort meade, md",30d+,$110k - $154k (employer est.)
general assembly,4.2,associate software engineer,"austin, tx",5d,$87k - $171k (employer est.)
delta dental ins.,4.3,senior software engineer,whitehall township,11d,$125k - $160k (employer est.)
cotiviti,4.4,software engineer instructor,"denver, co",30d+,$83k - $124k (employer est.)
boeing,4.1,senior software engineer,"alpharetta, ga",1d,$74k - $98k (glassdoor est.)
braum's,3.9,sr. devops engineer,remote,2d,$102k - $159k (employer est.)
cummings aerospace inc,2.5,software engineer - mid level,"annapolis junction, md",17d,$115k - $165k (employer est.)
t.m. bier & associates,4.4,senior software engineer,"oklahoma city, ok",6d,$108k - $216k (employer est.)
zelis,3.9,software engineer-mid level,"largo, fl",3d,$90k - $145k (employer est.)
tiktok,3.7,software engineer (bms),united states,9d,$68k - $104k (glassdoor est.)
eaton,3.5,senior software engineer - c# & rust,new jersey,3d,$72k - $108k (employer est.)
cvs health,3.0,"frontend software engineer graduate, tiktok infrastructure - 2025 start (bs/ms)","san jose, ca",10d,$69k - $120k (glassdoor est.)
zoox,3.7,eaton development program: engineering technology - software,"peachtree city, ga",5d,$72k - $127k (glassdoor est.)
radiance technologies,3.9,software development engineer,"hartford, ct",30d+,$158k - $205k (employer est.)
boston consulting group,4.2,senior fullstack software engineer - perception metrics platform,"san francisco, ca",19d,$100k - $160k (employer est.)
sage,3.5,full stack software engineer,"beavercreek, oh",13d,$50.00 - $54.00 per hour (employer est.)
neurable,4.4,"ai software engineer, campus, united states - bcg x","los angeles, ca",4d,$130k - $210k (employer est.)
asm international,3.4,"software engineer - c#, c++","lawrenceville, ga",30d+,$115k - $159k (glassdoor est.)
galvion,4.0,senior software engineer,"boston, ma",9d,$138k - $192k (glassdoor est.)
prophet software,3.6,field software support engineer,"hillsboro, or",30d+,$89k - $129k (glassdoor est.)
ansira,4.1,associate software engineer (on-site),"portsmouth, nh",1d,$130k - $150k (employer est.)
elder research,4.7,software developer,"westlake village, ca",16d,$177k - $251k (employer est.)
3 reasons consulting,3.9,full stack software engineer,washington state,11d,$100k - $158k (glassdoor est.)
"ab2 consulting, inc.",3.2,backend software engineer,"fort george g meade, md",30d+,$168k - $253k (employer est.)
university of maryland,4.1,software engineer ii,"san diego, ca",30d+,$167k - $296k (employer est.)
cpi card group,3.6,"software development engineer in test (sdet) / okemos, mi (hybrid)","okemos, mi",10d,$136k - $200k (employer est.)
simplot,3.8,research software and data engineer,"college park, md",5d,$35.00 - $50.00 per hour (employer est.)
walmart advanced systems and robotics,4.1,software process engineer,"fort wayne, in",30d+,$118k - $142k (employer est.)
fanatics inc.,3.5,software engineer,"boise, id",12d,$109k - $219k (employer est.)
ge healthcare,4.0,senior software engineer – emulation,"andover, ma",25d,$64k - $113k (glassdoor est.)
norc at the university of chicago,4.1,"software engineer ii, android",united states,30d+,$104k - $166k (employer est.)
wssc water,5.0,software engineer,"washington, dc",30d+,$181k - $212k (employer est.)
rvo health,4.0,cloud engineer,"chicago, il",5d,$91k - $119k (glassdoor est.)
wisenbaker builder services,3.8,"engineering software administrator (e-builder, primavera p6)","laurel, md",2d,$70k - $115k (employer est.)
optum,3.0,2025 early career program: software engineering,"charlotte, nc",4d,$124k - $211k (employer est.)
sofi,3.9,cad software engineer (cabinets),"hillsboro, tx",12d,$161k - $253k (employer est.)
fanatics inc.,4.1,"senior ai/ml software engineer, java - remote","eden prairie, mn",3d,$90k - $140k (employer est.)
micron,3.4,"staff software engineer, at work","seattle, wa",2d,$123k - $175k (employer est.)
boeing,3.5,software engineer ii,"new york, ny",18d,$81k - $131k (glassdoor est.)
bellelynn,3.6,it software engineer,"boise, id",30d+,$77k - $104k (glassdoor est.)
bertrandt,3.8,software engineer 3 - front end (contract),"el segundo, ca",3d,$125k - $208k (employer est.)
amazon.com services llc,3.7,sr software engineer,"columbia, md",3d,$80k - $113k (glassdoor est.)
salesforce,4.0,automotive software engineer,"sterling heights, mi",30d+,$129k - $224k (employer est.)
ford motor company,4.2,"front end engineer, sponsored brands - fixed","new york, ny",4d,$92k - $133k (glassdoor est.)
eai technologies,3.8,software engineering lmts,"bellevue, wa",4d,$105k - $130k (glassdoor est.)
mahlet,4.1,software engineer - global order bank,"dearborn, mi",16d,$62k - $89k (glassdoor est.)
new river systems corporation,4.4,physics/math graduate - entry level software developer,"vienna, va",30d+,$110k - $145k (employer est.)
rev robotics,4.6,software engineer,"burtonsville, md",16d,$116k - $128k (employer est.)
"intelligenesis, llc",4.1,onestream software systems engineer,united states,17d,$111k - $184k (employer est.)
enersys,3.6,senior software engineer,"carrollton, tx",5d,$138k - $297k (employer est.)
university of washington,4.7,full stack software engineer level 1,"arlington, va",30d+,$109k - $145k (glassdoor est.)
hewlett packard,3.8,product engineer i,"longmont, co",24h,$97k - $133k (glassdoor est.)
movius interactive corporation,3.4,software engineer,"seattle, wa",30d+,$100k - $145k (employer est.)
noblis,4.1,cloud software development engineer,"fort collins, co",11d,$86k - $129k (glassdoor est.)
cedent,3.7,software engineer - backend voice,"fremont, ca",1d,$53k - $96k (glassdoor est.)
bank of america,3.5,software engineer (all levels),"mclean, va",30d+,$75k - $131k (employer est.)
linquest corporation,4.3,"software system engineer (c++, java background)","warren, mi",30d+,$119k - $173k (glassdoor est.)
hewlett packard,3.5,software engineer ii,"charlotte, nc",3d,$97k - $126k (glassdoor est.)
oracle,4.0,ground software engineer,virginia,11d,$84k - $106k (glassdoor est.)
federal reserve bank of boston,4.1,experienced front-end engineer,"fort collins, co",14d,$81k - $109k (glassdoor est.)
collins aerospace,3.5,software developer,"austin, tx",2d,$166k - $228k (employer est.)
apriva,3.9,full-stack software engineer – digital money and payments research & development,"boston, ma",30d+,$154k - $279k (employer est.)
asec,3.9,software engineering co-op (summer/fall 2025) (onsite),"cedar rapids, ia",2d,$115k - $154k (employer est.)
t. rowe price,4.6,software engineer iv,"phoenix, az",27d,$66k - $109k (glassdoor est.)
s&s activewear llc,3.8,software engineer,"patuxent river, md",16d,$116k - $204k (employer est.)
peterson technologies,4.0,software engineer,"owings mills, md",23d,$102k - $150k (glassdoor est.)
"longpath technologies, inc.",3.7,senior software engineer (hybrid available),"bolingbrook, il",22d,$139k - $184k (glassdoor est.)
gradient,4.0,mid level software engineer,"hanover, md",30d+,$94k - $118k (glassdoor est.)
amazon.com services llc,4.2,senior software engineer,"boulder, co",18d,$94k - $136k (glassdoor est.)
envisn incorporated,3.7,senior software engineer,"burlingame, ca",2d,$126k - $265k (employer est.)
intersoft data labs,3.5,"software development engineer ii, sort tech","tempe, az",3d,$100k - $135k (glassdoor est.)
digital insight printing,4.1,software quality assurance (tester) engineer,"indianola, pa",9d,$175k - $209k (employer est.)
teradyne,3.6,software engineer (onsite),"columbia, md",25d,$248k - $385k (employer est.)
beshenich muir & associates llc,4.6,magento developer,remote,24h,$91k - $152k (employer est.)
powermind solutions,4.6,software machine learning engineer,"north reading, ma",3d,$129k - $193k (employer est.)
plaid,3.7,software systems engineer,"fort belvoir, va",30d+,$98k - $135k (glassdoor est.)
"grammarly, inc.",3.2,software developer,georgia,4d,$114k - $149k (glassdoor est.)
shipperhq,4.0,software engineer - credit,"san francisco, ca",30d+,$130k - $236k (employer est.)
bryn neil,3.6,"software engineer, back-end",united states,30d+,$144k - $288k (employer est.)
dcs corp,3.9,sr. software engineer - site reliability,"austin, tx",16d,$49k - $84k (glassdoor est.)
bank of america,3.4,cleared software engineer,"denver, co",3d,$129k - $224k (employer est.)
"amazon web services, inc.",3.8,software developer,maryland,3d,$118k - $184k (glassdoor est.)
"bio-rad laboratories, inc.",4.1,data center services - software engineer,"plano, tx",8d,$86k - $116k (glassdoor est.)
"audacy, inc.",4.8,"software dev engineer, l5 , sfsc integrations","seattle, wa",23d,$124k - $234k (employer est.)
cyberkorp,4.2,software developer in test,"hercules, ca",10d,$80k - $119k (employer est.)
leidos,3.5,senior software engineer,"denver, co",4d,$88k (employer est.)
boeing intelligence & analytics,3.4,"software developers – multiple openings – bloomingdale, il",united states,30d+,$55k (employer est.)
tesla,4.1,junior java software engineer,"fort meade, md",30d+,$234k - $284k (employer est.)
openai,3.1,apprentice etl software engineer,"elkridge, md",30d+,$160k - $385k (employer est.)
ncr atleos,3.9,"software engineer, tool & infrastructure, reliability & test","palo alto, ca",1d,$222k (employer est.)
electronic warfare associates,3.8,"software engineer, engineering acceleration","san francisco, ca",5d,$82k - $118k (glassdoor est.)
"billgo, inc.",3.3,atm software engineer (level iii),"frisco, tx",30d+,$69k - $107k (glassdoor est.)
genesys,3.6,software engineer,"mount laurel, nj",30d+,$95k - $143k (employer est.)
