Company,Company Score,Job Title,Location,Date,Salary
ocean power technologies inc,3.8,software engineer,united states,2d,$107k - $192k (employer est.)
riverside research institute,4.8,software engineer,"fairborn, oh",3d,$79k - $120k (glassdoor est.)
staffed4u,5.0,java software engineer,"annapolis junction, md",30d+,$94k - $153k (employer est.)
uber freight,5.0,software engineer ii,"chicago, il",1d,$84k - $129k (glassdoor est.)
snowflake,4.1,software engineer - database engineering,"bellevue, wa",4d,$82k - $129k (glassdoor est.)
likewize,4.0,jr devops engineer,"dallas, tx",2d,$61k - $104k (glassdoor est.)
massmutual ascend,4.0,senior software engineer ii,"cincinnati, oh",19d,$182k - $244k (employer est.)
washington dc government,4.7,react developer,remote,2d,$96k - $116k (employer est.)
anavation,3.7,software developer,"quantico, va",3d,$68k - $136k (employer est.)
3r info,3.9,software engineer,"canton, mi",30d+,$93k - $132k (glassdoor est.)
strategic mission elements,3.5,software developer (typescript/javascript),"chantilly, va",26d,$77k - $125k (glassdoor est.)
"ipsecure, inc.",3.9,senior software engineer,"patrick afb, fl",4d,$52k - $200k (employer est.)
relx,3.2,software engineer ii,georgia,2d,$81k - $118k (glassdoor est.)
solventum,3.6,software engineer - front-end (solventum),"maplewood, mn",3d,$128k - $192k (employer est.)
focus technology solutions inc,3.0,cloud engineer,"boston, ma",4d,$150k - $225k (employer est.)
two six technologies,4.1,software engineer,"warrenton, va",17d,$50.00 per hour (employer est.)
"adams, inc.",3.2,software engineer,tennessee,4d,$85k - $120k (employer est.)
cps insurance services,3.4,junior software developer,"phoenix, az",1d,$192k - $245k (employer est.)
cephas,3.1,software engineer,"melbourne, fl",4d,$114k - $182k (employer est.)
chubb,3.4,software engineer - java springboot (dt),"whitehouse station, nj",3d,$102k - $134k (glassdoor est.)
uber freight,3.6,software engineer iii - mobile (multiple openings),"san francisco, ca",9d,$101k - $160k (employer est.)
consumers energy,4.8,assoc software engineer,"jackson, mi",6d,$90k - $124k (glassdoor est.)
u.s. bank national association,3.4,senior software engineer,"hopkins, mn",1d,$88k - $128k (glassdoor est.)
medimpact healthcare systems,3.5,software engineer iv,"san diego, ca",30d+,$83k - $131k (glassdoor est.)
imc financial markets,3.1,graduate software engineer,"chicago, il",17d,$70k - $90k (employer est.)
truveta,4.0,software engineer - normalization,"seattle, wa",3d,$164k - $182k (employer est.)
"signature science, llc",4.2,software engineer,"egg harbor township, nj",23d,$73k - $92k (employer est.)
jyg innovations,4.1,web developers,"frederick, md",2d,$108k - $200k (employer est.)
vensit,3.5,software engineer,"sayreville, nj",30d+,$123k - $160k (glassdoor est.)
independent software,3.9,software engineer - apprentice,united states,17d,$112k - $141k (glassdoor est.)
"visionist, inc.",3.5,junior software engineer,"fort meade, md",10d,$101k - $160k (employer est.)
ncr,3.1,software dev ops engineer ii,indiana,3d,$69k - $143k (employer est.)
clearwater analytics,3.6,senior software development engineer,"seattle, wa",9d,$120k - $140k (employer est.)
"technical intelligence solutions, llc",3.0,software engineer,"crystal city, va",2d,$68k - $120k (glassdoor est.)
cvs health,3.8,associate software development engineer - colleague experience,"woonsocket, ri",29d,$104k - $136k (glassdoor est.)
"delta defense, llc",3.9,"associate engineer, analytics","west bend, wi",2d,$82k - $115k (glassdoor est.)
koalafi,3.2,backend software engineer,"richmond, va",13d,$161k - $239k (employer est.)
intel,4.1,ai research engineer,arizona,17d,$107k - $150k (employer est.)
no.inc,5.0,software engineer,"baltimore, md",5d,$91k - $122k (glassdoor est.)
f5,3.5,software engineer iii,"seattle, wa",30d+,$103k - $144k (glassdoor est.)
arcadia science,3.3,"software engineer, product","berkeley, ca",6d,$80k - $100k (employer est.)
artint knowledge tech,3.5,firmware (linux) dev i,remote,5d,$100k - $128k (employer est.)
